compound,modelseed,bigg
Dextrin,cpd11594,dextrin
Glycogen,cpd00155,glycogen
N-Acetyl-D-Galactosamine;N-acetylgalactosamine,cpd00832,acgal
N-Acetyl-D-Glucosamine;N-acetylglucosamine,cpd00122,acgam
L-Arabinose;arabinose,cpd00224,arab__L
D-Arabitol;arabitol,cpd00417,abt__D
D-Cellobiose;cellobiose,cpd00158,cellb
D-Fructose;fructose,cpd00082,fru
L-Fucose;fucose,cpd00751,fuc__L
D-Galactose;galactose,cpd00108,gal
m-Inositol;inositol,cpd00121,inost
alpha-D-Lactose;lactose,cpd00208,lcts
Maltose;maltose,cpd00179,malt
D-Mannitol;mannitol,cpd00314,mnl
D-Mannose;mannose,cpd00138,man
D-Melibiose;melibiose,cpd03198,melib
D-Raffinose;raffinose,cpd00382,raffin
L-Rhamnose;rhamnose,cpd00396,rmn
Sucrose;sucrose,cpd00076,sucr
D-Trehalose;trehalose,cpd00794,tre
Xylitol,cpd00306,xylt
Acetic Acid;acetate,cpd00029,ac
Citric Acid;citrate,cpd00137,cit
Formic Acid;formate,cpd00047,for
Alpha-Hydroxybutyric Acid;2-Hydroxybutyrate,cpd03561,2hb
alpha-Ketobutyric Acid;2-Ketobutyrate,cpd00094,2obut
Propionic Acid;propionate,cpd00141,ppa
Succinic Acid;succinate,cpd00036,succ
Fumaric Acid;fumarate,cpd00106,fum
L-Alanine;alanine,cpd00035,ala__L
L-Arginine;arginine,cpd00051,arg__L
L-Asparagine;asparagine,cpd00132,asn__L
L-Aspartic Acid;aspartate,cpd00041,asp__L
L-Cysteine;cysteine,cpd00084,cys__L
L-Glutamic Acid;glutamate,cpd00023,glu__L
L-Glutamine;glutamine,cpd00053,gln__L
L-Histidine;histidine,cpd00119,his__L
L-Isoleucine;isoleucine,cpd00322,ile__L
L-Leucine;leucine,cpd00107,leu__L
L-Lysine;lysine,cpd00039,lys__L
L-Ornithine;ornithine,cpd00064,orn
L-Phenylalanine;phenylalanine,cpd00066,phe__L
L-Proline;proline,cpd00129,pro__L
L-Serine;serine,cpd00054,ser__L
L-Threonine;threonine,cpd00161,thr__L
L-Tryptophan;tryptophan,cpd00065,trp__L
L-Tyrosine;tyrosine,cpd00069,tyr__L
L-Valine;valine,cpd00156,val__L
D-L-Carnitine;carnitine,cpd00266,crn
Inosine,cpd00246,ins
Uridine,cpd00249,uri
Thymidine,cpd00184,thymd
Glucose-1-Phosphate,cpd00089,g1p
Acetoin,cpd00361,actn__R
Butanediol,cpd01947,btd_RR
Butanol,cpd03662,btoh
Butyrate;Butyric acid,cpd00211,but
D-Arabinose;arabinose,cpd00185,arab__D
D-glucosamine;glucosamine,cpd00276,gam
D-Lactate;D-Lactic acid;lactate;lactic acid;(R)-Lactate;(R)-Lactic acid,cpd00221,lac__D
Ethanol,cpd00363,etoh
Ribitol,cpd00366,rbt
Gluconate;D-Gluconic Acid,cpd00222,glcn
Glucuronate;D-Glucuronic Acid,cpd00164,glcur
Hydrogen sulfide,cpd00239,h2s
