id,reaction,medium
GCF_000160535.1,DHNAOT,FT
GCF_000160535.1,FRD3,FT
GCF_000160535.1,G1PACT,FT
GCF_000160535.1,GF6PTA,FT
GCF_000160535.1,MMM,FT
GCF_000160535.1,PPND,FT
GCF_000160535.1,PYNP1,FT
GCF_000056065.1,4HBZR,FT
GCF_000056065.1,AHCi,FT
GCF_000056065.1,ASP1DC,FT
GCF_000056065.1,BCOALIG2,FT
GCF_000056065.1,CHRPL,FT
GCF_000056065.1,DAPE,FT
GCF_000056065.1,DHDPRx_r,FT
GCF_000056065.1,DHDPS,FT
GCF_001456065.2,AMMQT8_2,FT
GCF_001456065.2,SUCOAS,FT
GCF_000016525.1,4HBZR,MM_anaerobic_Acetate_H2
GCF_000016525.1,ACt2r,MM_anaerobic_Acetate_H2
GCF_000016525.1,ALATA_D,MM_anaerobic_Acetate_H2
GCF_000016525.1,APSR,MM_anaerobic_Acetate_H2
GCF_000016525.1,FBP,MM_anaerobic_Acetate_H2
GCF_000016525.1,FRD7,MM_anaerobic_Acetate_H2
GCF_000016525.1,GLYCL_2,MM_anaerobic_Acetate_H2
GCF_000016525.1,H2td,MM_anaerobic_Acetate_H2
GCF_000016525.1,NAtex,MM_anaerobic_Acetate_H2
GCF_000016525.1,RPE,MM_anaerobic_Acetate_H2
GCF_000016525.1,TKT2,MM_anaerobic_Acetate_H2
GCF_000016525.1,EX_ac_e,MM_anaerobic_Acetate_H2
GCF_000016525.1,EX_h2_e,MM_anaerobic_Acetate_H2
GCF_000013285.1,ASP1DC,FT
GCF_000013285.1,CHRPL,FT
GCF_000143845.1,4HBZR,FT
GCF_000143845.1,ADCL,FT
GCF_000143845.1,AHMMPS_1,FT
GCF_000143845.1,ASP1DC,FT
GCF_000143845.1,BCOALIG2,FT
GCF_000143845.1,CHRPL,FT
GCF_000143845.1,DAPE,FT
GCF_000143845.1,DHDPRx_r,FT
GCF_000143845.1,DHDPS,FT
GCF_000143845.1,DHNAOT,FT
GCF_000143845.1,PABB,FT
GCF_000143845.1,PDX5PO2,FT
GCF_000143845.1,SUCCt2r,FT
GCF_000143845.1,SUCOAACTr,FT
GCF_000143845.1,THRAi,FT
GCF_000143845.1,EX_succ_e,FT
