reaction,minimum__no_gapfill,maximum__no_gapfill,biomass__no_gapfill,normalized_maximum__no_gapfill,phenotype__no_gapfill,minimum__w_gapfill,maximum__w_gapfill,biomass__w_gapfill,normalized_maximum__w_gapfill,phenotype__w_gapfill,gem_file,random_rxns,num_rxns_to_add,num_rxns_added,rxn_ids_added,key_rxns
EX_dextrin_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_glycogen_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_acgal_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_acgam_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_arab__L_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_abt__D_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_cellb_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_fru_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_fuc__L_e,0.0,0.0,0.10758872802607344,0.0,0,0.0,0.0,0.16420821200053,0.0,0,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
EX_gal_e,1.499957187096861,1.5,0.10758872802607344,13.941980981841189,1,0.0,1.0446666768670892e-05,0.16420821200053,6.36184186003875e-05,1,GCF_000160535.1,0,20,20,FRD;ADNCYC;DADNC;PPK2;PIt2rpp;AP4AS;G3PD;ADK2_1;ANNAT;SUCCACT;AP3S;ACS_1;r1383;PYRt2rpp;NADS1_1;AFAT;FMNAT_1;ATPADT;UCPP;GLYTA,
