,0,0.1,0.1.1,0.1.1.1,0
10FTHFGLULL,0.99430025,0.9994967,0.9991561,0.9992355,0.9893497
10M3HDHL,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
10M3OACPO,0.99781287,0.9993297,0.99921286,0.9993117,0.9976376
10M3OUO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
10MDOD,0.99660826,0.9979862,0.9924958,0.99556184,0.9828661
10MTDAO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
10MTU2A,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
10MUAM,0.99660826,0.9979862,0.9924958,0.99556184,0.9828661
11DOCRTSLte,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
11DOCRTSTRNte,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
11M3ODO,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
11MDAMCA,0.99660826,0.9979862,0.9924958,0.99556184,0.9828661
11MHDOD,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
11MTRDOC,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
12DGR120tipp,0.028046183,0.0003262799,0.000119734366,0.0028081734,0.0016363685
12DGR140tipp,0.009988271,0.0003489258,0.0020578455,0.0005463556,0.00024698995
12DGR141tipp,0.0030563867,0.0015823677,0.0018137444,0.0045698974,0.00190614
12DGR160tipp,0.034252968,0.0005440626,0.00025908585,0.0004822203,0.0019621414
12DGR180tipp,0.0061483257,0.0028159996,0.000637238,0.014479363,0.0048392103
12DHCHOLabc,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
12DHCHOLt,8.544593e-05,1.1965361e-05,5.127618e-05,4.2738626e-05,2.4485595e-05
12DHCHOLt2,0.031951476,0.0191667,0.0042264587,0.0024058463,0.0128755
12HARACHDte,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
12HPETATP,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
12HPETUPKt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
12HTACRtep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
12HTACRtu,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
12M3HTDH,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
12M3HTHL,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
12M3OXOT,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
12M3TDA,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
