,0
BKDA2,6.92966e-05
OA16LST,0.00042668084
r1866,6.943054e-05
HMCRNc,0.74424875
ENTCS,0.039283972
GPAM_hs_16_0,0.76066446
PCA2,0.9997944
12PPDStex,0.9148373
RE1925C,0.03547492
2HATVLACGLUCteb,0.9994491
LPCAT_PALM_DPA_sn2_c,0.00014984811
CHOPT_HDE_MYRS_c,0.25295457
PLDAGAT_EPA_EPA_DHA_PC_7_c,0.9148372
r1671,1.288591e-05
ACOADH1,0.9791159
GGSPMDO,0.012163093
ASCBt,0.9148373
CLFORtex2,3.229972e-05
CYSGLUHISr,0.94881433
PLA2PE_HDE_PALM_c,0.5536339
PHLACHt,0.9945827
MFAPS_SC,0.003965934
ESTSULT,0.00029727718
DGDGGH_EPA_HDE_c,0.020531284
PI45P5P,0.9964064
r0398,0.9984439
ADSELR,0.71814275
DAGK_16_0_18_0,0.9981034
PLA2_2e,0.00013233151
PLDAGAT_HDE_EPA_ARA_PE_14_c,0.9148372
RHACOAR100,0.9984439
SMOX,0.04463585
GLYGLYGLNtr,0.9994491
CHOLATEt,1.0713354e-05
SULRR2,0.99983263
ABUTt4_2_r,0.0009533446
r2300,9.192604e-06
PCD6DS_HDE_STA_sn2_c,0.0013696332
r2243,9.192612e-06
HMR_0214,0.998602
PLDAGAT_MYRS_EPA_PALM_PE_9_c,0.9148372
RE0578C,0.998602
CPH4S,0.00731915
EPISTESTH_SCe,5.7902787e-05
PPTRNACT,0.9944776
PLDAGAT_PALM_EPA_DHA_PC_8_c,0.9148372
OARGDC,0.99348325
PGLYCt_cho,0.9148373
G3PA,0.99983096
DHNAOT_2,0.92914313
r0747,0.9984439
r0629,0.0024358092
PLDAGAT_PALM_EPA_LNA_PC_2_c,0.9148372
ETAPCPSII,0.9148373
DMBI,0.10785611
PLDAGAT_EPA_EPA_DHA_PE_10_c,0.9148372
CCPpp,0.11601992
12DHCHOLabc,0.9994491
LPP_SC,0.99872714
APDH,0.99991477
ALDD2y,0.9998016
ASNS3,0.99334383
HISGLYLYSr,0.00634277
PIP4K_PALM_LNA_c,0.9981034
r1796,0.0009767527
