,predicted_scores,similarity_scores
CAT,0.9999675,0.7777713391666992
PPItex,0.9999534860000001,0.6620870758628553
FADDP,0.9999520900000001,0.7499674012257151
AMPDA,0.999951992,0.6928143010165421
AMPt6,0.999950194,0.6620870758628552
NTPP2_1,0.9999488339999999,0.8944505146551419
MALT,0.999946722,0.8333333333333335
DADNC,0.999946216,0.7697947830803872
PDE5,0.99994485,0.8165131171713449
NPH,0.999944402,0.9805796924137853
ADK2_1,0.9999436599999999,0.5751938878175578
AFAT,0.9999421799999999,0.9486874220701511
SOR,0.999942052,0.7453559965556428
H2CO3D,0.9999398420000001,0.5962770197072937
ANNAT,0.999939798,0.9486874220701303
CMPDAi,0.999939772,0.6928143010165112
AP4AH1,0.999936774,0.7499674012257186
BPNT_1,0.9999366779999999,0.8944505146551167
CMPt6,0.9999361920000001,0.6620870758628552
ADK2,0.999935198,0.6123724356957946
GK_adp,0.999934998,0.5751938878175855
DNTP,0.99993486,0.7825990088689616
AP3AH,0.99993486,0.7825990088689616
PYK2,0.999934436,0.5999791384166038
CDPPH,0.999931926,0.7302353587660153
NTP7,0.999930372,0.6761095507751385
PYRDC,0.9999279879999999,0.7559430259228173
SUCCACT,0.99992757,0.6666666666666667
FMNAT_1,0.9999265639999999,0.8944505146550992
PPGPPDP_c,0.9999260839999999,0.8944505146551055
NDP7,0.9999245519999999,0.6761095507751399
PItpp,0.9999245120000001,0.8944271909999159
GTPH1,0.9999242799999999,0.836650676096406
ALPHNH,0.9999239899999999,0.8992275948022379
METt3,0.9999238220000001,0.6620870758628552
METt2r,0.9999238220000001,0.6620870758628552
PPANA,0.9999221720000001,0.8819134533312954
NH4OHDs,0.999919892,0.647125276518244
NADPHHR,0.9999196579999999,0.47580012563787344
NADPHHS,0.9999196579999999,0.47580012563787344
PPDK,0.999919628,0.6761095507751951
GUAC,0.999918392,0.8660254070568537
NADHXD,0.9999178400000002,0.5250184311622608
DCTPD2,0.9999174099999999,0.6928143010165103
ALAD_L,0.999916904,0.6834925412092816
PYK3,0.999916724,0.5999791384166895
MCD,0.999915966,0.6859943405700353
